normal_tamil,theni_tamil
இங்கிருந்து போ,இங்கிட்டு இருந்து கிளம்பு முதல்ல
விலை எவ்வளவு,இது என்ன விலைப்பா
குறைத்துத் தாருங்கள்,கொஞ்சம் குறைச்சுப் போடுங்கப்பு
நிஜமாகவா சொல்கிறாய்,நிசமாவா சொல்ற
அதற்கு என்ன,அதுக்கென்ன இப்ப
நிதானமாகப் பேசு,மெதுவாப் பேசுல எதுக்கு இப்பிடி கத்துற
சும்மா கதை சொல்லாதே,"சும்மா கதை விடாதல, எனக்குத் தெரியும்!"
அவரா அவர் ரொம்ப நல்லவர்,அவராப்பு மனுசன் தங்கமானவருல!
கூட்டம் அதிகமாக இருக்கிறது,"ஜனம் அள்ளி வீசுதுப்பா, கூட்டத்தப் பாரு!"
அறிவில்லையா உனக்கு,புத்தி இல்லையாப்பு உனக்கு
பயந்துவிட்டேன்,நல்லா பீதி கெளப்பிட்ட போப்பா!
உடம்பு சரியில்லை,ஒடம்பு ஒரு மாதிரியா கிடக்குப்பா
தலை வலிக்கிறது,மண்டை வெடிக்குதுல
மருந்து சாப்பிட்டாயா,மருந்து சாப்புட்டியாப்பு
டிக்கெட் எடுத்துவிட்டாயா,சீட்டு எடுத்தாச்சா மச்சி
கொஞ்சம் தள்ளிப் போ,கொஞ்சம் எட்டப் போ
அவனைத் தெரியுமா,அவன உனக்குத் தெரியுமாப்பு
பார்த்துக் கொள்ளலாம்,பாத்துக்கலாம் போப்பா
பயணப் பை,மூட்டை முடிச்சு
அங்கே போ,அங்குட்டுப் போயா
அங்கே நில்,அங்குட்டு நில்லுயா
அவன் அங்கே போய்க்கொண்டிருக்கிறான்,அவன் அங்கிட்டுப் போய்க்கிட்டு இருக்கான்
அவர்கள் அங்கே போகிறார்கள்,அவங்க அங்கிட்டுப் போறாங்க
அவள் அங்கே போகிறாள்,அவ அங்குட்டுப் போறா
அதிகாலை,விடியால
எவ்வளவு நேரம்,எம்புட்டு நேரம்யா
எதற்காக,எதுக்காண்டிப்பா
நேரம் ஆகிவிட்டது,நேரமாயிடுச்சுயா
அவ்வளவுதான்,அம்புட்டுத்தேன்யா
ஐந்து மணி ஆகிவிட்டது,மணி அஞ்சாயிடுச்சுய்யா 
என்ன செய்து கொண்டிருக்கிறாய்,என்ன செஞ்சுகிட்டு இருக்க
வேலை பாத்துக்கிட்டு இருக்கேன்,வேலை பார்த்துட்டு இருக்கே
சரி நானும் வர்றேன்,சேரி நானும் வரேன்
சும்மா வேடிக்கை பார்க்கிறேன்,சும்ம வேடிக்கை பாக்குறேன்
நண்பன் சொன்னா,நண்பே சொன்னியா
உறங்கப் போகிறேன்,ஒறங்கப் போறேன்
மெதுவாகப் பேசு,மெதுவாப் பேசு
மருந்து சாப்பிட்டாயா,மருந்து சாப்புட்டியா
அவனைத் தெரியுமா,அவன உனக்குத் தெரியுமா
பார்த்துக் கொள்ளலாம்,பாத்துக்கலா விடு
ஐந்து மணி ஆகிவிட்டது,மணி அஞ்சாச்சு
அவள் அங்கே போகிறாள்,அவ அங்க போறா
உன்னிடம் பேச வேண்டும்,உன்ட்ட கொஞ்சம் பேசணும்
நிஜமாகவா சொல்கிறாய்,நிசமாவா சொல்ற
அவர்கள் அங்கே போகிறார்கள்,அவங்க அங்க போறாங்க
அவள் அங்கே போகிறாள்,அவ அங்க போறா
என்ன விசேஷம்,என்ன விசேஷனுசொல்லுங்க
உடம்பு சரியில்லை,ஒடம்பு ஒரு மாதிரியா இருக்கு
அவன் அங்கே போய்க்கொண்டிருக்கிறான்,அவன் அங்க போய்ட்டுயிருக்கியான்
அவர்கள் அங்கே போகிறார்கள்,அவங்க அங்க போறாங்க
நிதானமாகப் பேசு,பொறுமையா பேசு
சும்மா கதை சொல்லாதே,சும்மா கத விடாத
கொஞ்சம் தள்ளிப் போ,கொஞ்ச அங்குட்டு போ
வணக்கம்! இன்று நான் உங்களுக்கு எப்படி உதவலாம்,வணக்கம்! இன்னைக்கு நான் உங்களுக்கு எப்படி உதவனும்
என்னால் முடியாது,என்னாலலாம் முடியாது  விட்டுருங்க
வேகமாகப் போ,"வேமா போ / வெரசா போ"
ரொம்ப நேரம் ஆகிவிட்டது,ரொம்ப நேர ஆச்சு கிளம்பலாம்
அவன் ரொம்ப நல்லவன்,அவே தங்கமான பய
உனக்குத் தெரியுமா,எனக்கு ஓரளவுக்கு தா தெரியும் ஆனா முழுசா தெரியலையே
நாளைக்கு பார்க்கலாம்,நாளைக்கி பாப்போம்
எதுவும் சொல்லாதே,ஒன்னும் பேசாதப்பா
சூரியன் அப்படின்னா என்னங்க,சூரியன்னா என்னதுப்பா
வானம் ஏன் நீலமா தெரிஞ்சிருக்கு,வானம் ஏன் இப்படி பளீச் னு நீல நெறத்துல
ஈர்ப்பு விசைன்னா என்னனு சுலபமாசொல்லுங்க,ஈர்ப்பு விசைன்னா என்னப்பா
வானவில் அப்படின்னா என்னங்க,வானவில்லுன்னா என்னதுப்பா
பறவைகள் எப்படி வானத்துல பறக்குது,பறவைங்க எப்படிப்பா அம்புட்டு வானத்துல பறக்குது
நாம ஏன் தூங்கணும்,நாம எதுக்குப்பா தூங்கணும்
நீர் சுத்தி சுத்தி போறதுக்கு என்னனு சொல்வாங்க,தண்ணி சுத்திச் சுத்திப் போகுமே அதுக்கு என்னசொல்லுங்கவாங்க
இரவும் பகலும் எப்படி வருதுனுசொல்லுங்க,இந்த இரவும் பகலும் எப்படிப்பா மாத்தி மாத்தி வருது
கோள் அப்படின்னா என்னங்க,கோளுன்னா என்னதுப்பா
நட்சத்திரங்கள் ஏன் இவ்வளவு ஒளியா ஜொலிக்குது,இந்த நட்சத்திரமெல்லாம் ஏன் இம்புட்டு உசிரைக் குடுங்கத்து ஜொலிக்குது
இந்த கணித சிக்கலை தீர்க்கவும்,இந்த கணக்குச் சிக்கலை கொஞ்சம் தீர்த்து வைங்க
இந்தப் பாடத்தை எளிமையாக விளக்குங்கள்,இந்தப் பாடத்துல என்னதான் சொல்ல வர்றாங்கன்னு புரியுற மாதிரிசொல்லுங்க
எனது பள்ளியைப் பற்றி வரிகளை எழுதுங்கள்,எங்க பள்ளிக்கூடத்தைப் பத்தி ஒரு அஞ்சு வரி நச்சுன்னு எழுதித் தாங்கப்பா
வீட்டுப்பாடத்தில் எனக்கு உதவுங்கள்,இந்த வீட்டுப்பாடம் பண்றதுக்கு எனக்கு கொஞ்சம் ஒத்தாசையா இருங்கப்பா
இந்த Word அர்த்தத்தை விளக்குங்கள்,இந்த வார்த்தைக்கு என்னதான் அர்த்தம்னு புரியுற மாதிரிசொல்லுங்கப்பா
மரங்களில் ஒரு பத்தி எழுதவும்,மரங்களைப் பத்தி ஒரு பத்தி மெனக்கெட்டு எழுதித் தாங்க
இந்த பாடத்தை சுருக்கவும்,இந்தப் பாடத்தை சுருக்கமாச்சொல்லுங்க
தேர்வுக்கான குறிப்புகளை கொடுங்கள்,எக்ஸாம்ல ஜெயிக்கிறதுக்கு நல்ல ஐடியா கொஞ்சம் கொடுங்கப்பா
ஏழாம் அட்டவணையை விளக்கவும்,அந்த ஏழாம் வாய்ப்பாட்டை கொஞ்சம் பாடம் சொல்லிக் குடுங்க
ஒரு நாயைப் பற்றிய கதையை எழுதுங்கள்,ஒரு நாயைப் பற்றிய கதையை எழுதுங்க
மழை பற்றி ஒரு கவிதை செய்யுங்கள்,மழை பத்தி ஒரு கவிதைசொல்லுங்க
என் அம்மாவைப் பற்றி ஒரு கட்டுரை எழுதுங்கள்,எங்க அம்மாவைப் பத்தி ஒரு கட்டுரை எழுதித் தாங்கப்பா
எனது இலக்கணத்தைத் திருத்தவும்,இந்த எழுத்துல ஏதாச்சும் தப்பு இருந்தா சரி பண்ணி விடுங்க
இந்த வாக்கியத்தை மீண்டும் எழுதவும்,இந்த வாசகத்த மறுபடியும் ஒருவாட்டி எழுதிக்கொடுங்கப்பா
இதை எளிதாக ஆங்கிலமாக்குங்கள்,இத கொஞ்சம் இங்கிலீஷ்ல மாத்தித் தாங்கப்பா
இதற்கு இணையான சொற்களைக் கொடுங்கள்,இந்த வார்த்தைக்குப் பொருந்துற வேற வார்த்தைகளைசொல்லுங்கப்பா
மகிழ்ச்சி என்பதை பயன்படுத்தி வாக்கியங்களை எழுதவும்,மகிழ்ச்சி வார்த்தையை வச்சு ஒரு பத்து வரிசொல்லுங்க
ஒரு ரைம் உருவாக்கவும்,ஒரு சின்ன பாட்டு ஒண்ணு கட்டித் தாங்கப்பா
உரையைப் பயன்படுத்தி பூனையை வரையவும்,இந்த எழுத்தை வச்சே ஒரு பூனை படம் வரைஞ்சு காட்டுங்கப்பா
கார்ட்டூன் கதையை உருவாக்கவும்,ஒரு சூப்பரான கார்ட்டூன் கதைசொல்லுங்க
ஒரு விசித்திரக் கதையை எழுதுங்கள்,ஏதாச்சும் ஒரு விசித்திரமான கதையை எழுதுங்க
ஒரு வேடிக்கையான ஜோக் செய்யுங்கள்,நல்லா சிரிக்கிற மாதிரி ஒரு ஜோக்சொல்லுங்கப்பா
குழந்தைகளுக்கான புதிர்களை உருவாக்கவும்,சிறுசுகளுக்குப் புரியுற மாதிரி விடுகதை பண்ணுங்க
தூங்கும் நேரக் கதையை எழுதுங்கள்,தூங்குறப்போ கேக்குற மாதிரி ஒரு கதை எழுதுங்க
ஒரு நகைச்சுவை யோசனையை உருவாக்கவும்,ஏதாச்சும் ஒரு நகைச்சுவையான யோசனசொல்லுங்கப்பா
ஒரு சூப்பர் ஹீரோவைக் கண்டுபிடி,புதுசா ஒரு சூப்பர் ஹீரோவ கண்டுபிடிங்க
ஒரு மந்திர நிலத்தை விவரிக்கவும்,மந்திர உலகம் எப்படி இருக்கும்னுசொல்லுங்க
நாக்கு ட்விஸ்டர்களை உருவாக்கவும்,நாக்கு சுளுக்குற மாதிரி டங் ட்விஸ்டர்சொல்லுங்க
இந்த எண்களைச் சேர்க்கவும்,இந்த நம்பரெல்லாம் ஒண்ணா சேர்த்துசொல்லுங்க
இந்த எண்களைக் கழிக்கவும்,இந்த நம்பரெல்லாம் கழிச்சா எவ்வளவு வரும்
இருபதை நாலால் வகுக்கவும்,இருபத நாலால பங்கு போட்டுச்சொல்லுங்க
பின்னங்களை விளக்குக,பின்னம்னா என்னன்னு புரியுற மாதிரிசொல்லுங்க
இரட்டை எண் என்றால் என்ன,இரட்டை நம்பர்னா என்னன்னுசொல்லுங்க
ஒற்றைப்படை எண் என்றால் என்ன,ஒத்தப்படை நம்பர்னா என்ன
நேரம் என்றால் என்ன,நேரம்னா என்னப்பா
இந்தியா என்றால் என்ன,இந்தியா நாடுனா என்னன்னு பெருமையாசொல்லுங்க
பிரதமர் யார்,இப்ப நம்ம நாட்டோட பிரதமர் யாரு
விலங்குகள் என்றால் என்ன,விலங்குகள்னா என்ன
தாவரங்களை விளக்குங்கள்,தாவரங்கள பத்தி கொஞ்சம் விவரமாச்சொல்லுங்க
கடல் என்றால் என்ன,கடல்னா என்ன
பறவைகளுக்கு பெயரிடுங்கள்,நமக்குத் தெரிஞ்ச ஒரு அஞ்சு பறவை பேரசொல்லுங்க
பழங்களின் பெயர்,ஒரு பத்து பழத்தோட பேரசொல்லுங்க
வரைபடம் என்றால் என்ன,வரைபடம்னா என்ன
போக்குவரத்து விதிகளை விளக்குங்கள்,ரோட்டுல போறபோ என்னென்ன விதி பாக்கணும்னுசொல்லுங்க
நாம் ஏன் மரங்களை காப்பாற்ற வேண்டும்,நம்ம மரங்களை ஏன் காப்பாத்தணும்
காற்று என்றால் என்ன,காத்துன்னா என்ன
தண்ணீர் என்றால் என்ன,தண்ணின்னா என்ன
தாவரத்தின் பாகங்களை விளக்குங்கள்,செடி கொடி மரத்துல என்னென்ன பாகம் இருக்குசொல்லுங்க
காந்தம் என்றால் என்ன,காந்தம்னா என்ன
மின்சாரம் என்றால் என்ன,கரண்டுன்னா என்னன்னுசொல்லுங்கப்பா
நாம் ஏன் உணவு உண்கிறோம்,நாம ஏன் சாப்பாடு சாப்பிடுறோம்
ஐம்புலன்கள் என்றால் என்ன,ஐம்புலன்கள்னா என்ன
ஒலி என்றால் என்ன,சத்தம்னா என்ன
வெப்பம் என்றால் என்ன,வெப்பம்னா என்னன்னுசொல்லுங்க
நமக்கு ஏன் வியர்க்கிறது,நமக்கு ஏன் வேர்க்குது
கணினி என்றால் என்ன,கணனின்னா என்ன
செயற்கை நுண்ணறிவு என்றால் என்ன,செயற்கை நுண்ணறிவுன்னா என்ன
கைபேசி எப்படி வேலை செய்கிறது,செல்லுப் போனு எப்புடிப்பா வேலை செய்யுது
இணையம் என்றால் என்ன,இன்டர்நெட்னா என்னன்னுசொல்லுங்க
ரோபோக்கள் உண்மையா,ரோபோட்டுங்க உண்மையாவே இருக்குதாப்பா
AI ஆல் சிந்திக்க முடியுமா,AI கும் நம்மள மாதிரி சிந்திக்க முடியுமா
விசைப்பலகை என்றால் என்ன,கீபோர்டுன்னா என்ன
சுட்டி பற்றி விளக்குங்கள்,மவுஸு பத்திசொல்லுங்க
குறியீட்டு முறை என்றால் என்ன,கோடிங்னா என்னப்பா
வீட்டுப்பாடம் செய்ய AI உதவ முடியுமா,AI வச்சு வீட்டுப்பாடம் செஞ்சு முடிச்சிரலாமா
படிப்பு அட்டவணையை உருவாக்கவும்,படிக்கிறதுக்கு டைம் டேபிள் ஒண்ணு போட்டுக்குடுங்க
செய்ய வேண்டிய வேலைகளின் பட்டியலை உருவாக்கவும்,இன்னைக்கு என்னென்ன காரியம் பாக்கணும்னு ஒரு லிஸ்ட் போடுங்க
என்ன செய்து கொண்டிருக்கிறாய்? -	என்ன செஞ்சுகிட்டு இருக்க
வேலை பாத்துக்கிட்டு இருக்கேன்  -  வேலை பார்த்துட்டு இருக்கே
Formal Tamil,Spoken Tamil
என்ன செய்து கொண்டிருக்கிறாய்,என்ன செஞ்சுகிட்டு இருக்க
வேலை பாத்துக்கிட்டு இருக்கேன்,வேலை பார்த்துட்டு இருக்கே
சரி நானும் வர்றேன்,சேரி நானும் வரேன்
சும்மா வேடிக்கை பார்க்கிறேன்,சும்ம வேடிக்கை பாக்குறேன்
நண்பன் சொன்னான்,நண்பே சொன்னியா
உறங்கப் போகிறேன்,ஒறங்கப் போறேன்
மெதுவாகப் பேசு,மெதுவாப் பேசு
மருந்து சாப்பிட்டாயா,மருந்து சாப்புட்டியா
அவனைத் தெரியுமா,அவன உனக்குத் தெரியுமா
பார்த்துக் கொள்ளலாம்,பாத்துக்கலா விடு
ஐந்து மணி ஆகிவிட்டது,மணி அஞ்சாச்சு
அவள் அங்கே போகிறாள்,அவ அங்க போறா
உன்னிடம் பேச வேண்டும்,உன்ட்ட கொஞ்சம் பேசணும்
நிஜமாகவா சொல்கிறாய்,நிசமாவா சொல்ற
அவர்கள் அங்கே போகிறார்கள்,அவங்க அங்க போறாங்க
என்ன விசேஷம்,என்ன விசேஷனுசொல்லுங்க
உடம்பு சரியில்லை,ஒடம்பு ஒரு மாதிரியா இருக்கு
அவன் அங்கே போய்க்கொண்டிருக்கிறான்,அவன் அங்க போய்ட்டுயிருக்கியான்
நிதானமாகப் பேசு,பொறுமையா பேசு
சும்மா கதை சொல்லாதே,சும்மா கத விடாத
கொஞ்சம் தள்ளிப் போ,கொஞ்ச அங்குட்டு போ
என்னால் முடியாது,என்னாலலாம் முடியாது விட்டுருங்க
வேகமாகப் போ,வேமா போ அல்லது வெரசா போ
ரொம்ப நேரம் ஆகிவிட்டது,ரொம்ப நேர ஆச்சு கிளம்பலாம்
அவன் ரொம்ப நல்லவன்,அவே தங்கமான பய
உனக்குத் தெரியுமா,எனக்கு ஓரளவுக்கு தா தெரியும் ஆனா முழுசா தெரியலையே
உடல் ஆரோக்கியம் ஏன் ரொம்ப முக்கியம்,உடல் நல எதுக்கு ரொம்ப முக்கியம்
மனநலம் ஏன் முக்கியமானது,மனநில எதுக்கு முக்கியமானது
ஆரோக்கியமான வாழ்க்கை முறையை எப்படித் தொடர்ந்து கடைப்பிடிக்கலாம்,நலமான வாழ்க்க முறைய தொடர்ந்து எப்பிடி கடைபிடிக்கலா
தினசரி வாழ்க்கையில் உடற்பயிற்சியை எப்படி ஒரு பழக்கமாக்கிக் கொள்ளலாம்,தெனமும் வாழ்க்கைல உடற்பயிற்சிய எப்பிடி ஒரு பழக்கமாக்கிக்களலா
சத்தான உணவு உண்ணும் பழக்கத்தை எப்படி உருவாக்குவது,சத்தான சாப்பாடு தின்ற பழக்கத்த எப்பிடி உருவாக்குறது
தூக்கத்தின் தரத்தை எப்படி அதிகப்படுத்தலாம்,நல்லா தூக்கம் வர என்ன பண்ணலா
மன அழுத்தத்தை மருந்துகள் இல்லாமல் இயற்கையாக எப்படிச் சமாளிக்கலாம்,மன அழுத்தத மருந்து இல்லாம எப்பிடி இயற்க்க முறையில சரிவன்னலா
பதற்றத்தையும் கவலையையும் எப்படிக் குறைக்கலாம்,கவலையும் பதட்டத்தயும் எப்பிடி குறைக்கலா
உணர்ச்சிகளை எப்படிக் கட்டுப்படுத்தி சமமாக வைத்துக்கொள்வது,உணர்ச்சிய எப்பிடிக் கட்டுப்படுத்தி சமமாக வைக்கலா
விழிப்புணர்வுடன் இருப்பது ஆரோக்கியத்திற்கு எப்படி உதவும்,விழிப்புணர்வ இருக்குறது எப்பிடி நல்லா இருக்கு உதவு
நம்முடைய சின்னச் சின்னப் பழக்கங்கள் நீண்ட கால ஆரோக்கியத்தை எப்படிப் பாதிக்கும்,நம்மளோட சின்ன சின்ன பழக்க எப்பிடி ரொம்ப காலம் நலன பாதிக்கு
இன்று நான் உங்களுக்கு எப்படி உதவலாம்,இன்னைக்கு உங்களுக்கு நா என்ன உதவி பண்ணனும்
இப்போ நீங்கள் என்ன தேடிக்கிட்டு இருக்கீங்க,இப்ப அப்படி என்னத்தத் தேடிக்கிட்டு இருக்கீங்க
நான் உங்களுக்கு என்ன பண்ணித் தரணும்,நானு உங்களுக்கு என்ன செஞ்சு தரணும்
நான் step-by-step சொல்லலாமா,நானு அப்படியே ஒண்ணொண்ணா சொல்லவா இல்ல அக்குவேரு ஆணிவேரா பிரிச்சுச் சொல்லட்டுமா
சில உதாரணங்களைச் சொல்லி விளக்கட்டுமாப்பா,ஒரு சில எடுத்துக்காட்டைச் சொல்லிச் சொல்லட்டுமா
உங்கள் பிரச்சினையைப் பற்றி இன்னும் கொஞ்சம் விளக்க முடியுமா,உங்களுக்கு என்ன பிரச்சன அதப்பத்தி இன்னு கொஞ்ச வெவரமாசொல்லுங்க
இந்தப் பிரச்சினை எப்போது தொடங்கியது,இந்த பிரச்சன எப்ப ஆரம்பிச்சுச்சு
நீங்கள் எந்தச் சாதனத்தைப் பயன்படுத்துகிறீர்கள்,நீங்க எந்த சாமையான வச்சுப் பயன்படுத்துறீங்க
நீங்கள் எந்த ஆப் அல்லது மென்பொருள் வெர்ஷனில் இருக்கிறீர்கள்,நீங்க இப்ப ஆப்புல எந்த வெர்சன்ல இருக்குனுசொல்லுங்க
நீங்கள் எந்தத் தலைப்பைப் பற்றிப் படிக்க முயல்கிறீர்கள்,இப்ப நீ எந்த தலைப்ப படிக்க இருக்கிறீங்க
உங்கள் தற்போதைய நிலை என்ன,இப்ப உன்னோட நிலைமை என்ன
உங்களுக்குப் பயிற்சிக்குக் கேள்விகள் வேண்டுமா,உங்களுக்குப் பயிற்சிக்கு கேள்விகள் வேணுமா
நீங்க எங்க போறீங்க,நீங்க எங்கிட்டு போறீய
இந்தப் புத்தகத்த படிங்க,இந்தப்புத்தகத்த வாசிங்கப்பு
அவ பாடம் படிக்கிறா,அவ பாடம் படிச்சுக்கிட்டு இருக்கா
காலையில எந்திரிச்சதும் டீ குடிப்பேன்,காலையில எந்திரிச்சதும் டீ குடிப்பேம்
நாளைக்கு மீட்டிங் இருக்கும்,நாளைக்கு ஒரு சங்கம் இருக்குது
தயவு செய்து எனக்கு உதவுங்க,கொஞ்சம் ஒதவி செய்யுங்கப்பு
எனக்கு ஒரு கேள்வி இருக்கு,எங்கிட்ட ஒரு கேள்வி இருக்குது
அவர் நேற்று வந்தாரு,அவுக நேத்து வந்தாக
நாளைக்கு மழை வரும்,நாளைக்கு மழை பேயும் போல
இங்கே நில்லாதீங்க,இங்கிட்டு நிக்காதீங்க
ரொம்ப நன்றி,ரொம்ப நன்றீங்கப்பு
என் பேரு குமார்,எம்பேரு குமாரு
உங்க பேரு என்ன,ஒம்பேரு என்னப்பா
என் வீடு இங்கிருந்து அருகில இருக்கு,எந்தூடு இங்கிட்டுதான் பக்கத்துலயே இருக்கு
இது எவ்வளவு,இது என்ன விலை வரும்
அவ அழகா இருக்கா,அவ லட்சணமா இருக்கா
நான் சாப்பிட ஆசைப்படுறேன்,எனக்கு திங்கணும் போல இருக்கு
எனக்கு பசிக்குது,எனக்கு வயிறு காஞ்சு போயிருக்கு
எனக்கு தூக்கம் வருது,எனக்கு கண்ணு செருகுது
இப்ப என்ன நேரம்,நேரம் இப்ப என்னாச்சு
தயவு செய்து மெதுவா பேசுங்க,கொஞ்சம் பொறுமையா பேசுங்கப்பு
நீங்க எப்ப வருவீங்க,நீங்க எப்ப வருவீய
நான் உங்களுக்காக காத்திருக்கேன்,நான் ஒங்களுக்காகத்தான் காத்துக்கிட்டு இருக்கேன்
இது சரியான பதிலில்லை,இது சரிப்பட வராது
என்ன ஆச்சு,என்ன விபரம்
அவன் எங்க போனான்,அவன் எங்கிட்டு போனான்
நான் அதை செஞ்சேன்,நான்தான் அதச் செஞ்சேன்
நீங்க அதை செய்யல,நீங்க அதச் செய்யலியே
நாளைக்கு நாம பாக்கலாம்,நாளைக்கு சந்திப்போம்
எனக்கு உடம்பு சரியில்லை,எனக்கு உடம்பு ஒரு மாதிரியா இருக்கு
இதை ட்ரை பண்ணி பாருங்க,இதை செஞ்சு பாருங்கப்பா
அவங்க வராங்களா,அவுக வாராகளா
எனக்கு எதுவும் புரியல,எனக்கு ஒண்ணும் விளங்கல
இது எப்படி முடியும்,இது எப்படிச் சாத்தியம்
நான் ரொம்ப டயர்டா இருக்கேன்,எனக்கு ரொம்ப அசதியா இருக்கு
அவர் என்ன சொன்னாரு,அவரு என்ன சொன்னாக
நீங்க அதை எடுத்துக்கலாம்,நீங்க அத எடுத்துக்கங்க
என் கார் ரிப்பேர் ஆயிடுச்சு,எங்கார் பழுதாயிடுச்சு
அவ பாட்டு பாடுறா,அவ பாட்டுப் பாடுறா
அவங்க விளையாடுறாங்க,அவுக விளையாடுறாக
நான் சீக்கிரம் வரேன்,நான் செதறி வரேன்
தயவு செய்து இங்க வாங்க,கொஞ்சம் இங்கிட்டு வாங்கப்பா
அவன் வீட்ல இல்லை,அவன் ஊட்டுல இல்ல
இது ரொம்ப டேஸ்டா இருக்கு,இது ரொம்ப ருசியா இருக்குது
என்னால முடியல,என்னால ஏலல
நான் உங்களை லவ் பண்றேன்,நான் உங்களை விரும்புறேன்
அவ கோவமா இருக்கா,அவ கடுப்பா இருக்கா
எனக்கு பயமா இருக்கு,எனக்கு ஒரு மாரி இருக்கு
இந்த வார்த்தைக்கு என்ன அர்த்தம்,இந்தச்சொல்லுங்கக்கு என்ன விபரம்
நான் அதை மறந்துட்டேன்,நான் அத மறந்துப்புட்டேன்
நீங்க என்ன நினைக்கிறீங்க,நீங்க என்ன நெனைக்கிறீய
அவன் வந்துட்டு இருக்கான்,அவன் வந்துகிட்டு இருக்கான்
இது எப்படி வேலை செய்யுது,இது எப்படி ஓடுது
நான் உங்களோட வரேன்,நானும் ஒங்கூட வாரேன்
நீங்க தனியா போகலாம்,நீங்க ஒண்டியா போய்க்கங்க
இது என் ஃப்ரெண்ட்,இவன் எஞ்சோலிக் காரன்
நான் நாளைக்கு கெளம்புறேன்,நான் நாளைக்கு கெளம்புறேம்
அவங்க பேசிக்கிட்டு இருக்காங்க,அவுக பேசிக்கிட்டு இருக்காக
எனக்கு ஒரு ஐடியா வருது,எனக்கு ஒரு யோசனை வருது
நீங்க சொல்றது சரிதான்,நீங்க சொல்றது நெசந்தான்
இதை என்கிட்ட குடுங்க,இதை எங்கிட்டு குடுங்க
அவ எழுதுறா,அவ எழுதுறா
அவன் ஓடுறான்,அவன் ஓடுறான்
இங்க வெளிச்சம் பத்தல,இங்கிட்டு வெளிச்சம் கம்மியா இருக்கு
நான் சந்தோஷமா இருக்கேன்,நான் குஷியா இருக்கேன்
அவங்க சிரிக்கிறாங்க,அவுக சிரிக்காக
நான் நடக்குறேன்,நான் நடக்குறேம்
அவர் உட்கார்ந்திருக்கிறார்,அவரு உக்காந்திருக்காக
இது என் வீடு,இது எந்தூடு
உங்களால அத செய்ய முடியுமா,ஒங்களால அதச் செய்ய ஏலுமா
அவன் தூங்குறான்,அவன் தூங்குறான்
எனக்கு ஹெல்ப் பண்ணுங்க,எனக்கு ஒரு ஒதவி செய்யுங்க
அவ படிச்சா,அவ படிச்சா
அவங்க வேலை செய்றாங்க,அவுக வேலை பாக்குறாக
நான் பாக்குறேன்,நான் பாக்குறேம்
அவன் வருவான்,அவன் வருவான்
இது முடியும்,இது ஏலும்
நான் வாங்குறேன்,நான் வாங்குறேம்
அவ கேக்குறா,அவ கேக்குறா
நான் போறேன்,நான் போறேம்
அவர் பேசுறார்,அவரு பேசுறாக
இது சரி,இது சரிப்பா
நான் கொண்டு வரேன்,நான் கொண்டாரேம்
அவங்க காட்டுறாங்க,அவுக காட்டுறாக
நான் முடிக்கிறேன்,நான் முடிச்சுர்றேம்
அவன் திறக்குறான்,அவன் தெறக்குறான்
நான் மூடுறேன்,நான் மூடுறேம்
அவ எடுக்குறா,அவ எடுக்குறா
நான் வைக்கிறேன்,நான் வைக்கிறேன்
அவங்க தூக்குறாங்க,அவுக தூக்குறாக
நான் கீழ வைக்கிறேன்,நான் தரைல வைக்கிறேன்
அவன் உடைக்குறான்,அவன் ஒடைக்குறான்
நான் கலெக்ட் பண்றேன்,நான் பொறுக்குறேம்
அவ குளிக்கிறா,அவ குளிக்கிறா
நான் கிளீன் பண்றேன்,நான் சுத்தம் பண்றேம்
அவங்க சமைக்கிறாங்க,அவுக சோறாக்குறாக
நான் சாப்பிடுறேன்,நான் திங்குறேம்
அவன் குடிக்கிறான்,அவன் குடிக்கிறான்
அவ வாசிக்கிறா,அவ வாசிக்கிறா
அவங்க பாடுறாங்க,அவுக பாடுறாக
நான் ஆடுறேன்,நான் ஆடுறேம்
அவன் வரைவான்,அவன் வரைவான்
நான் கலர் பண்றேன்,நான் சாயம் பூசுறேம்
அவ கத்துறா,அவ கத்துறா
நான் அழறேன்,நான் அழுகுறேம்
அவங்க சண்டை போடுறாங்க,அவுக மல்லுக்கட்டுறாக
அவன் ஏமாத்துறான்,அவன் ஏமாத்துறான்
நான் நம்புறேன்,நான் நம்புறேம்
அவ மன்னிக்குறா,அவ மன்னிக்குறா
நான் மறக்குறேன்,நான் மறந்துர்றேம்
அவங்க நியாபகப்படுத்துறாங்க,அவுக நியாபகம் படுத்துறாக
நான் முடிவு பண்றேன்,நான் முடிவு பண்றேம்
அவன் தேடுறான்,அவன் தேடுறான்
நான் கண்டுபிடிக்கிறேன்,நான் கண்டுபிடிச்சுர்றேம்
அவ இழக்குறா,அவ தொலைக்குறா
நான் ஜெயிக்குறேன்,நான் ஜெயிக்குறேம்
அவங்க தோக்குறாங்க,அவுக தோக்குறாக
நான் ட்ரை பண்றேன்,நான் முயற்சி பண்றேம்
அவன் ஜெயிக்கிறான்,அவன் ஜெயிக்கிறான்
நான் தோத்துட்டேன்,நான் தோத்துப்புட்டேம்
அவ ஹெல்ப் பண்றா,அவ ஒதவி செய்யுறா
நான் ஒத்துக்கிறேன்,நான் ஏத்துக்கிறேன்
அவங்க மறுக்குறாங்க,அவுக மாட்டேன்னு சொல்றாக
