theni_tamil,normal_tamil
இன்னைக்கு ஆபீஸ் லீவாப்பா,இன்னைக்கு ஆபீஸ் லீவா
இல்லப்பா இன்னைக்குப் போயே ஆகணும்,இல்ல நான் இன்னைக்கு போயே ஆகணும்
ரொம்ப வேலையா இருக்குப்பா,ரொம்ப வேலையா இருக்கு
டென்சன் ஆகாதப்பா,டென்ஷன் ஆகாதீங்க
சிரிச்சுக்கிட்டே இருப்பா,சிரிச்சுக்கிட்டே இருங்க
கோவம் எதுக்குப்பா,கோவம் எதுக்கு
சண்டை போடாதப்பா,சண்டை போடாதீங்க
மன்னிச்சிருங்கப்பா,மன்னிச்சுடுங்க
என் தப்பாதான் விடு,என் தப்பா தான்
இனிமே இப்பாடி நடக்காதுப்பா,இனிமே இப்படி நடக்காது
நீ சொன்னது சரிதான்யா,நீங்க சொன்னது சரிதான்
எனக்கு இதப் புடிக்கலப்பா,எனக்கு இது பிடிக்கல
வேற ஏதாச்சும் காட்டுப்பா,வேற எதாவது காட்டுங்க
விலை இம்புட்டு அதிகமா இருக்கு,விலை ரொம்ப அதிகமா இருக்கு
விலையைக் குறைச்சுக் குடுப்பா,கம்மி பண்ணி குடுங்க
வேற எங்கயாச்சும் கெடைக்குமா,வேற எங்கயாவது கிடைக்குமா
ஆன்லைன்ல ஆர்டர் பண்ணுப்பா,ஆன்லைன்ல ஆர்டர் பண்ணுங்க
டெலிவரி எப்ப வரும்ப்பா,டெலிவரி எப்ப வரும்
பார்சல் வந்துருச்சு,பார்சல் வந்துடுச்சு
தொறந்து பாருப்பா,ஓபன் பண்ணி பாருங்க
நல்லா இருக்காப்பா,நல்லா இருக்கா
கலர் கொஞ்சம் மந்தமா இருக்கு,கலர் கொஞ்சம் டல்லா இருக்கு
அளவு  சரியா இல்லப்பா,சைஸ் சரியா இல்ல
மாத்திக் குடுக்க முடியுமா,மாத்தி குடுக்க முடியுமா
பில் குடுப்பா,பில் குடுங்க
ஜி-பே பண்ணிட்டேன் பாருப்பா,ஜி-பே பண்ணிட்டேன் பாருங்க
மெசேஜ் வந்துருச்சா,மெசேஜ் வந்துடுச்சா
ஆமா வந்துருச்சு,ஆமா வந்துடுச்சு
ரொம்ப நன்றிப்பா,ரொம்ப நன்றி
பரவால்ல விடுங்கய்யா,பரவால்ல விடுங்க
இதெல்லாம் ஒரு விசயமே இல்லப்பா,இதெல்லாம் ஒரு விஷயமே இல்ல
உனக்கு ஏதாச்சும் வேணுமா,உங்களுக்கு எதாவது வேணுமா
எனக்கு ஒன்னும் வேணாம்ப்பா,எனக்கு எதுவும் வேண்டாம்
கொஞ்சம் தண்ணி மட்டும் குடுப்பா,கொஞ்சம் தண்ணி மட்டும் குடுங்க
தாகமா இருக்குப்பா,தாகமா இருக்கு
வெயிலு மண்டையப் பொளக்குது,வெயில் ரொம்ப அதிகமா இருக்கு
ஏசியப் போடுப்பா,ஏசி போடுங்க
கரண்டு போயிருச்சு,கரண்ட் கட் ஆயிடுச்சு
எப்ப வரும்னு தெரியலப்பா,எப்ப வரும்னு தெரியல
வெளில போயி ஒக்காரலாம்,வெளிய போய் உட்காரலாம்
காத்து நல்லா வருதுப்பா,காத்து நல்லா வருது
இங்கட்டு ரொம்ப அமைதியா இருக்கு,இங்க ரொம்ப அமைதியா இருக்கு
எனக்கு இந்த எடம் புடிச்சிருக்கு,எனக்கு இந்த இடம் பிடிச்சிருக்கு
அடிக்கடி இங்கிட்டு வரலாம்,அடிக்கடி இங்க வரலாம்
நீ வர்றியாப்பா,நீங்க வர்றீங்களா
நிச்சயமா வாரேன்,கண்டிப்பா வரேன்
எத்தனை மணிக்குக் கெளம்பலாம்,எத்தனை மணிக்கு கிளம்பலாம்
சாயங்காலம் ஒரு அஞ்சு மணிக்கு,சாயங்காலம் ஒரு அஞ்சு மணிக்கு
சரி நான் தயாரா இருக்கேன்,சரி நான் ரெடியா இருக்கேன்
போன் போடுப்பா,போன் பண்ணுங்க
மறந்துடாதப்பா,மறந்துடாதீங்க
ஞாபகம் இருக்குப்பா,ஞாபகம் இருக்கு
இன்னைக்குக் காலையில என்ன சாப்ட்ட,இன்னைக்கு காலையில என்ன சாப்டீங்க
இட்லி சாப்ட்டேன்பா,இட்லி சாப்டேன்
உனக்குப் புடிக்குமா,உங்களுக்கு பிடிக்குமா
எனக்கு பூரிதான் புடிக்கும்,எனக்கு பூரி தான் பிடிக்கும்
ஹோட்டல் சோறு ஒத்துவராதுப்பா,ஹோட்டல் சாப்பாடு ஒத்துவராது
ஊட்டுச் சோறுதான் நல்sலது,வீட்ல செஞ்சது தான் நல்லது
ஆத்தா  சமையல் பிரமாதமா இருக்கும்,அம்மா சமையல் சூப்பரா இருக்கும்
ஆமா அது நெசந்தான்,ஆமா அது உண்மைதான்
நீ சமைப்பியாப்பா,நீங்க சமைப்பீங்களா
எனக்குக் கொஞ்சம் தெரியும்யா,எனக்கு கொஞ்சம் தெரியும்
மேகி மட்டுந்தான் பண்ணுவேன்,மேகி மட்டும் தான் பண்ணுவேன்
சிரிக்காதப்பா,சிரிக்காதீங்க
முயற்சி பண்றதே பெரிய விசயந்தான்,முயற்சி பற்தே பெரிய விஷயம்
பழகப் பழக வந்துரும் ,பழக பழக வந்துடும்
வருத்தப்படாதப்பா,கவலைப்படாதீங்க
நான் சொல்லிக் குடுக்குறேன்,நான் சொல்லித் தர்றேன்
ரொம்ப நன்றிப்பா,ரொம்ப நன்றிங்க
நீங்க ரொம்ப நல்லவருப்பா,நீங்க ரொம்ப நல்லவர்
தேனி வட்டாரத் தமிழ்,இயல்பான தமிழ்
நேரம் என்னாச்சுப்பா,மணி என்ன ஆச்சு
அய்யக்கோ நேரமாயிப்போச்சு,ஐயோ லேட் ஆயிடுச்சு
நான் இப்பவே கெளம்பணும்ப்பா,நான் இப்பவே கிளம்பணும்
பதட்டம் வேணாம் நிதானமா இருங்க,அவசரம் வேண்டாம்
பத்திரமாப் போயிட்டு வாங்கப்பா,பத்திரமா போங்க
போயிட்டு வாரேம்ப்பா,போயிட்டு வரேன்
வர்றேம்ப்பா,பாய்
அடுத்த வாரம் பாத்துக்கலாம்,அடுத்த வாரம் பாக்கலாம்
நிச்சயமாப்பா,கண்டிப்பா
மறந்துடாம போன் போடுங்கப்பா,மறக்காம கால் பண்ணுங்க
சரிங்கப்பா,சரிங்க
ஊட்டுக்கு போயிட்டீங்களா,வீட்டுக்கு போயாச்சா
இப்பத்தாம்ப்பா வந்தேம்,இப்பதான் வந்தேன்
ஒடம்பு ரொம்ப அசதியா இருக்குது,ரொம்ப டயர்டா இருக்கு
கை காலக் கழுவிக்கிட்டு வாங்கப்பா,கை கால் கழுவுங்க
வெந்நி இருக்குதாப்பா,சுடுதண்ணி இருக்கா
இருக்குப்பா போட்டுத் தாரேம்,இருக்கு போட்டு தரேன்
ரொம்ப நன்றீப்பா,ரொம்ப தேங்க்ஸ்
எனக்கு ஒரு ஒதவி செய்ய முடியுமாப்பா,எனக்கு ஒரு உதவி செய்ய முடியுமா
சொல்லுங்கப்பா என்ன செய்யணும்,சொல்லுங்க என்ன பண்ணணும்
நாளைக்கு என்னால வர ஏலாதுப்பா,நாளைக்கு என்னால வர முடியாது
ஏன்பா என்னாச்சு,ஏன் என்ன ஆச்சு
ஊட்டுல ஒரு சின்ன விசேசம்ப்பா,வீட்ல ஒரு சின்ன விசேஷம்
அப்படியாப்பா சந்தோசம்,அப்படியா வாழ்த்துக்கள்
நன்றீப்பா,நன்றி
ஊட்டுல எல்லாரையும் கேட்டதா சொல்லுங்கப்பா,எல்லாரையும் கேட்டதா சொல்லுங்க
நிச்சயமாச் சொல்றேம்ப்பா,கண்டிப்பா சொல்றேன்
சோறு பொட்டலம் கட்டி எடுத்துட்டு வரட்டுமாப்பா,சாப்பாடு பார்சல் பண்ணி எடுத்துட்டு வரட்டுமா
வேணாம்ப்பா சிரமப்பட்டுக்கிட்டு,வேண்டாம் சிரமப்படாதீங்க
பரவால்லப்பா நான் கொண்டு வாரேம்,பரவால்ல நான் எடுத்துட்டு வரேன்
சரிப்பா ஒங்க இஸ்டம்,சரி உங்க இஷ்டம்
கெளம்புறேம்ப்பா,கிளம்புறேன்
பத்திரம்பா,பத்திரம்
கதவப் பூட்டியாச்சாப்பா,கதவை பூட்டியாச்சா
ஆமாப்பா பூட்டியாச்சு,ஆமா பூட்டியாச்சு
விளக்கை அணைங்கப்பா,라이ட் ஆப் பண்ணுங்க
கண்ணச் செருகி தூக்கம் வருதுப்பா,தூக்கம் வருது
தூங்கிட்டு வாங்கப்பா,குட் நைட்
நல்லாத் தூங்குங்கப்பா,நல்லா தூங்குங்க
நல்ல கனவா வரட்டும்,கனவு காணுங்கள்
கால்ல சீக்கிரம் எந்திரிச்சுருப்பா,காலைல சீக்கிரம் எழுந்துரு
அலாரம் வச்சாச்சாப்பா,அலாரம் வச்சாச்சா
அஞ்சு மணிக்கு வச்சுருக்கேம்ப்பா,ஐந்து மணிக்கு வச்சுருக்கேன்
எழுப்பி விடுங்கப்பா,எழுப்பி விடுங்க
சரிப்பா நான் எழுப்பாரேம்,சரி நான் எழுப்பாறேன்
தூங்கிட்டியாப்பா,தூங்கிட்டியா
இன்னும் இல்லப்பா,இன்னும் இல்ல
ஏதாச்சும் யோசனை பண்ணிக்கிட்டு இருக்கேம்,எதாவது யோசிச்சிட்டு இருக்கேன்
ரொம்பப் போட்டு ஒழப்பாதப்பா,ரொம்ப யோசிக்காத
மனசுக்குச் சங்கடமா இருக்குமப்பா,மனசுக்கு கஷ்டமா இருக்கும்
எல்லாம் நல்லதுக்குத்தாம்பா,எல்லாம் நல்லதுக்கு தான்
சாமி இருக்குதுப்பா பாத்துக்கும்,கடவுள் இருக்கார்
நம்பிக்கைத்தாம்பா உசுரு,நம்பிக்கை தான் வாழ்க்கை
இப்பத் தூங்குப்பா,தூங்கு இப்போ
சரிப்பா,சரி
நல்ல காலை நேரம்பா,காலை வணக்கம்
இன்னைக்கு பொழுது நல்லா இருக்குமப்பா,இன்னைக்கு நாள் நல்லா இருக்கும்
காப்பி தயாரா இருக்குப்பா,காபி ரெடி
குடிச்சுட்டுப் போப்பா,குடிச்சிட்டு கிளம்பு
வெளில குளிரு வாட்டுதுப்பா,வெளிய ரொம்ப குளிருது
மேல ஏதாச்சும் துணியப் போட்டுக்கோப்பா,சுவெட்டர் போட்டுக்கோ
வண்டி வந்துருச்சாப்பா,பஸ் வந்துடுச்சா
இன்னும் வரலப்பா,இன்னும் வரல
வண்டி நெரிசல் அதிகமா இருக்குமப்பா,டிராபிக் அதிகமா இருக்கும் போல
சட்டுபுட்டுனு போயாகணும்ப்பா,சீக்கிரம் போயாகணும்
இன்னைக்கு என்ன விவாதம்ப்பா,இன்னைக்கு என்ன மீட்டிங்
பெரிய ஜோலி இருக்குதுப்பா,முக்கியமான வேலை இருக்கு
முழுசா முடிச்சுட்டுச் சொல்றேம்,முடிச்சுட்டு சொல்றேன்
நல்லபடியா முடிங்கப்பா,ஆல் தி பெஸ்ட்
நன்றீப்பா,தேங்க்ஸ்
சோத்துப் பெட்டிய எடுத்தாச்சாப்பா,லஞ்ச் பாக்ஸ் எடுத்தாச்சா
மறந்துட்டேம்ப்பா இங்கிட்டுக் குடுங்க,மறந்துட்டேன் குடுங்க
இந்தாப்பா பிடிச்சுக்கோ,இந்தா பிடி
ஜோலி எப்படிக் கிடக்குதுப்பா,வேலை எப்படி போகுது
பரவால்லப்பா ஓடிக்கிட்டு இருக்கு,பரவால்ல போயிட்டு இருக்கு
ரொம்பச் சிரமமா இருக்குதாப்பா,ரொம்ப கஷ்டமா இருக்கா
ஆமாப்பா கொஞ்சம் பாடாத்தான் இருக்கு,ஆமா கொஞ்சம் கஷ்டம் தான்
யாராச்சும் குடைச்சல் குடுக்குறாங்களாப்பா,யாராவது தொந்தரவு பண்றாங்களா
அப்படி ஒண்ணும் இல்லப்பா,அப்படி எதுவும் இல்ல
நீ உன் ஜோலிய மட்டும் பாருப்பா,நீ உன்னோட வேலைய மட்டும் பாரு
யாரைப் பத்தியும் கவலைப்படாதப்பா,யாரையும் பத்தி கவலைப்படாதே
சரிங்கப்பா,சரிங்க
சட்டுனு ஊட்டுக்கு வந்துருப்பா,சீக்கிரம் வீட்டுக்கு வந்துடு
சரிம்மா,சரிமா
இன்னைக்கு வேமாவே வந்துருவேம்ப்பா,இன்னைக்கு சீக்கிரம் வந்துடுவேன்
வர்ற வழியில காய்கறி வாங்கிட்டு வாப்பா,வர வழியில காய் வாங்கிட்டு வா
என்ன காய் வேணுமப்பா,என்ன காய் வேணும்
தக்காளி வெங்காயம் வாங்கிட்டு வாப்பா,தக்காளி வெங்காயம் வாங்கிட்டு வா
சரிப்பா,சரி
வேற ஏதாச்சும் வேணுமாப்பா,வேற எதாவது வேணுமா
பாலு பாக்கெட் ஒண்ணு வாங்கிட்டு வாப்பா,பால் பாக்கெட் ஒன்னு வாங்கிட்டு வா
மறந்துப்பாடாதப்பா,மறந்துடாதே
சரிப்பா வாங்கிட்டு வாரேம்,சரி வாங்கிட்டு வரேன்
காசு இருக்குதாப்பா,பணம் இருக்கா
இருக்குப்பா,இருக்கு
சரிப்பா பத்திரமாப் போ,சரி பாத்து போ
என்னப்பா இம்புட்டுச் சனம்,என்ன இவ்வளவு கூட்டம்
திருவிழா நடக்குது போல இருக்குதப்பா,திருவிழா நடக்குது போல
சத்தம் காதப் பிளக்குதுப்பா,ரொம்ப சத்தமா இருக்கு
காது செவிடாயிரும் போலப்பா,காதே கேக்கல
இங்க நிக்க வேணாம்ப்பா கெளம்பலாம்,இங்க நிக்க வேண்டாம் போலாம்
நேரமாயிப்போச்சுப்பா,நேரம் ஆயிடுச்சு
ஊட்டுக்குப் போயிடலாம்ப்பா,வீட்டுக்கு போயிடலாம்
காலு கடுத்துப்போச்சுப்பா,காலு வலிக்குது
ரொம்பத் தூரம் நடந்துட்டோம்ப்பா,ரொம்ப தூரம் நடந்துட்டோம்
ஆட்டோ புடிச்சுப் போலாமாப்பா,ஆட்டோல போலாமா
வேணாம்ப்பா காசு வீணாயிரும்,வேண்டாம் காசு வேஸ்ட்
நடந்தே போயிருவோம்ப்பா,நடந்தே போயிடலாம்
நீங்க சொல்றது சரிதாப்பா,நீங்க சொல்றதும் சரிதான்
சிக்கனமா இருக்கணும்ப்பா,சிக்கனமா இருக்கணும்
அப்பத்தாம்பா காசு சேர்க்க முடியும்,அப்பதான் சேமிக்க முடியும்
நிச்சயமாப்பா,உண்மைதான்
ஊடு வந்துருச்சுப்பா,வீடு வந்துடுச்சு
அப்பாடா ஒரு வழியா வந்தாச்சு,அப்பாடா
செருப்ப வெளில விடுங்கப்பா,செருப்பை வெளிய விடுங்க
ஊடு சுத்தபத்தமா இருக்கணும்ப்பா,வீடு சுத்தமா இருக்கணும்
ஊட்டப் பெருக்குனியாப்பா,பெருக்குனியா
காலையில தான் பெருக்குனேம்ப்பா,காலையில தான் பெருக்குனேன்
மறுபடியும் குப்பை சேர்ந்துருச்சுப்பா,மறுபடியும் குப்பை சேர்ந்துடுச்சு
சின்னப்பயலுக வெளையாடுறாகப்பா,குழந்தைங்க விளையாடுறாங்க
அவங்கள ஏசாதீங்கப்பா,அவங்கள திட்டாதீங்க
சின்னப் புள்ளைங்க தானப்பா,சின்ன பசங்க தானே
ஆமாப்பா அதுவும் சரிதான்,ஆமா அதுவும் சரிதான்
சந்தோசமா இருக்கட்டும்ப்பா,சந்தோஷமா இருக்கட்டும்
நம்மளும் சந்தோசமா இருப்போம்ப்பா,நாமளும் சந்தோஷமா இருப்போம்
இன்னைக்கு வேமாவேத் தூங்குவோம்ப்பா,இன்னைக்கு சீக்கிரம் தூங்குவோம்
நாளைக்கு நாயித்துக்கெழமைப்பா,நாளைக்கு ஞாயிற்றுக்கிழமை
விடுமுறை தாம்பா,லீவு தான்
கடற்கரைக்குப் போலாமாப்பா,பீச்சுக்கு போலாமா
நல்ல யோசனைப்பா,ஐடியா நல்லா இருக்கு
புள்ளைங்களுக்கு ரொம்பப் புடிக்குமப்பா,குழந்தைங்களுக்கு பிடிக்கும்
சோறு செஞ்சு கொண்டு போலாம்ப்பா,சாப்பாடு செஞ்சு எடுத்துட்டு போலாம்
ஆமாப்பா காசு மிச்சமாகும்,ஆமா காசு மிச்சமாகும்
பத்திரமாப் போயிட்டு வரலாம்ப்பா,பத்திரமா போய் வரலாம்
சரி இப்பத் தூங்குவோம்ப்பா,சரி இப்போ தூங்குவோம்
தூங்கிட்டு வாங்கப்பா,குட் நைட்
நாளைக்குப் பாத்துக்கலாம்ப்பா,நாளைக்கு பாக்கலாம்
தூக்கம் கண்ணச் சொக்குதுப்பா,தூக்கம் வருது
விளக்க அணைப்பா,라이ட் ஆப் பண்ணு
கதவை ஒருவாட்டி பாத்துக்கோப்பா,கதவை ஒரு முறை செக் பண்ணு
எல்லாம் சரியாத்தான் இருக்குதுப்பா,எல்லாம் சரியா இருக்கு
நெம்மதியாத் தூங்குப்பா,நிம்மதியா தூங்கு
நாளைக்கு ஒரு புது விடியல்ப்பா,நாளை ஒரு புதிய நாள்
நல்லதே நடக்கும்ப்பா,நல்லதே நடக்கும்
நன்றீப்பா வணக்கம்,நன்றி வணக்கம்
அங்க என்னப்பா செய்யுறீங்க,அங்க என்ன பண்றீங்க
இப்போதைக்கு இது போதுமப்பா,இப்போதைக்கு இது போதும்
எனக்கு ஒரு ஒதவி வேணுமப்பா,எனக்கு கொஞ்சம் உதவி தேவைப்படுது
நீங்க சொல்றதுல ஒரு நியாயம் இருக்குப்பா,நீங்க சொல்றதுல ஒரு அர்த்தம் இருக்கு
இத இதுக்கு முன்னாடி பாத்ததே இல்லப்பா,இதுக்கு முன்னாடி இத பார்த்ததே இல்ல
மறந்துடாம எனக்கு ஒரு சேதி அனுப்பாங்கப்பா,மறக்காம எனக்கு ஒரு மெசேஜ் பண்ணுங்க
வருத்தப்படாதீங்க எல்லாம் சரியாயிரும்ப்பா,கவலைப்படாதீங்க எல்லாம் சரியாகிடும்
ஒங்ககிட்ட ஒரு சேதி சொல்லணும்ப்பா,உங்ககிட்ட ஒரு விஷயம் சொல்லணும்
நெசமாவா சொல்றீங்க இல்ல சும்மா விளையாடுறீங்களாப்பா,நிஜமாவா தான் சொல்றீங்களா இல்ல விளையாடுறீங்களா
ஒங்ககூடப் பேசுனா பொழுது போறதே தெரியலப்பா,நேரம் போறதே தெரியல உங்க கூட பேசுனா
இன்னைக்கு மதியச் சோறு என்னப்பா,இன்னைக்கு லஞ்ச் என்ன
பசி உசுர எடுக்குது சட்டுனு வாங்கப்பா,எனக்கு ரொம்ப பசிக்குது சீக்கிரம் வாங்க
அந்தக் கடையில சனம் ரொம்ப நிக்குதுப்பா,அந்த கடையில கூட்டம் ரொம்ப அதிகமா இருக்கு
இன்னைக்கு ஏம்பா இம்புட்டுப் பேசாம இருக்கீங்க,இன்னைக்கு ஏன் இவ்வளவு அமைதியா இருக்கீங்க
ஜோலி எல்லாம் முடிஞ்சதா இல்லையாப்பா,வேலை எல்லாம் முடிஞ்சதா இல்லையா
காசப் பத்தி இப்பப் பேச வேணாம்ப்பா,பணத்தை பத்தி இப்போ பேச வேணாம்
அவரு சொன்னதுல எனக்குத் திருப்தி இல்லப்பா,அவர் சொன்னதுல எனக்கு உடன்பாடு இல்ல
நீங்க ஏன்பா எப்பவும் இப்படிச் செய்யுறீங்க,நீங்க ஏன் எப்போவும் இப்படி பண்றீங்க
ரொம்ப ஒழப்பாதீங்க மனசுக்குச் சங்கடமா இருக்குமப்பா,ரொம்ப யோசிக்காதீங்க மனசுக்கு கஷ்டமா இருக்கும்
ஊட்டுக்குப் போற வழியில பால் வாங்கிட்டு வாங்கப்பா,வீட்டுக்கு போற வழியில கடையில பால் வாங்கிட்டு வாங்க
போன் சார்ஜ் போட மறந்துட்டேம்ப்பா,போன் சார்ஜ் போட மறந்துட்டேன்
சிக்னல் கெடைக்கல பேச்சு தெளிவா இல்லப்பா,சிக்னல் ரொம்ப வீக்கா இருக்கு வாய்ஸ் கேக்கல
கொஞ்சம் சத்தமாச் சொல்லுங்க ஒண்ணும் விளங்கலப்பா,கொஞ்சம் சத்தமா பேசுங்க ஒன்னும் புரியல
நாளைக்கு நிச்சயமா வந்துருங்க நேரமாக்காதீங்கப்பா,நாளைக்கு கண்டிப்பா வந்துடுங்க லேட் பண்ணாதீங்க
ஒங்க போன் நம்பர் சொல்ல முடியுமாப்பா,உங்க மொபைல் நம்பர் கொஞ்சம் சொல்ல முடியுமா
இந்த எடத்தக் கண்டுபிடிக்கவே முடியலப்பா,இந்த அட்ரஸ் கண்டுபிடிக்கவே முடியல
நேராப் போயி அந்தத் திருப்பத்துல இடதுபக்கம் திரும்புங்கப்பா,நேரா போயிட்டு அந்த சிக்னல்ல லெஃப்ட் எடுங்க
வண்டிச் சாவி எங்கே வச்சீங்கப்பா,வண்டி சாவி எங்க வச்சீங்க
தலைக்கவசம் போடாம வண்டி ஓட்டாதீங்கப்பா,ஹெல்மெட் போடாம வண்டி ஓட்டாதீங்க
போலீசு அங்க நிக்காகப் பாத்துப் போங்கப்பா,போலீஸ் அங்க நிக்கிறாங்க பாத்து போங்க
எனக்கு ஒரு யோசனை வருதுப்பா,எனக்கு ஒரு ஐடியா தோணுது
நீங்க ஏன்பா என்கிட்டச் சொல்லல,நீங்க ஏன் என்கிட்ட சொல்லல
அவங்க என்ன நெனைப்பாகளோ தெரியலப்பா,அவங்க என்ன நினைப்பாங்கனு தெரியல
யாரையும் பத்திக் கவலைப்படாம ஒங்க ஜோலியப் பாருங்கப்பா,யாரையும் பத்தி கவலைப்படாதீங்க உங்க வேலையை பாருங்க
இன்னைக்கு வெயிலு மண்டையப் பொளக்குதுப்பா,இன்னைக்கு வெயில் ரொம்ப சுட்டெரிக்குது
கொடை எடுத்துட்டுப் போங்க மழை வர்ற மாதிரி இருக்குதுப்பா,குடை எடுத்துட்டு போங்க மழை வரும் போல இருக்கு
ஜன்னலைச் சாத்துங்க காத்து அள்ளிக்கிட்டு வருதுப்பா,ஜன்னலை கொஞ்சம் மூடுங்க காத்து ரொம்ப பலமா வருது
காத்தாடி சத்தம் அதிகமா இருக்குது அணைங்கப்பா,பேன் சத்தம் அதிகமா இருக்கு ஆப் பண்ணுங்க
எனக்குக் கண்ணைச் சொக்குதுப்பா,எனக்கு கொஞ்சம் தூக்கம் வர மாதிரி இருக்கு
அலாரம் வச்சாச்சா காலைல சீக்கிரம் எழுப்பணும்ப்பா,அலாரம் வச்சாச்சா காலைல சீக்கிரம் எழுப்பணும்
காப்பி குடிக்கிறீங்களா இல்ல டீ வேணுமாப்பா,காபி குடிக்கிறீங்களா இல்ல டீ வேணுமா
சீனி கொஞ்சம் கம்மியாப் போடுங்கப்பா,சர்க்கரை கொஞ்சம் கம்மியா போடுங்க
சோறு ரொம்ப ருசியா இருக்குது யாரு ஆக்குனதுப்பா,சாப்பாடு ரொம்ப ருசியா இருக்கு யாரு சமைச்சது
ஒங்க கைராசியே தனித்தாப்பா,உங்க கை பக்குவமே தனி தான்
அய்யா இப்பத்தாம்பா வெளில போனாரு,அப்பா இப்பதான் வெளில போனாரு
புள்ளைங்க தூங்கிட்டாங்களாப்பா,குழந்தைங்க தூங்கிட்டாங்களா
பாடம் எல்லாம் படிச்சு முடிச்சாச்சாப்பா,ஹோம் ஒர்க் எல்லாம் முடிச்சிட்டாங்களா
டிவி சத்தத்தைக் கொஞ்சம் குறைங்கப்பா,டிவி சத்தத்தை கொஞ்சம் குறைங்க
பக்கத்து வீட்டுல சண்டை நடக்குது போலப்பா ,பக்கத்து வீட்டுல சண்டை நடக்குது போல
பக்கத்து வீட்டுல சண்ட நடக்குது போலப்பா,பக்கத்து வீட்டுல சண்டை நடக்குது போல
நம்ம அதுல தலையிட வேணாம் பேசாம இருப்போம்ப்பா,நாம தலையிட வேணாம் அமைதியா இருப்போம்
எப்பவும் மத்தவங்களுக்கு ஒதவி செய்யுங்கப்பா,எப்பவும் மத்தவங்களுக்கு உதவி பண்ணுங்க
நல்லதே நெனச்சா நல்லதே நடக்கும்பா,நல்லதே நினைச்சா நல்லதே நடக்கும்
ஒங்க மேல எனக்கு முழு நம்பிக்க இருக்குதுப்பா,உங்க மேல எனக்கு முழு நம்பிக்கை இருக்கு
முயற்சி செஞ்சாத்தான் ஜெயிக்க முடியும்பா,விடாமுயற்சி தான் வெற்றியை தரும்
இன்னைக்கு என்ன விசேசம் ஒங்க ஊட்டுலப்பா,இன்னைக்கு என்ன விசேஷம் உங்க வீட்ல
பெறந்தநாள் வாழ்த்துக்கள்ப்பா நல்லா இருங்கப்பா,பிறந்தநாள் வாழ்த்துக்கள் நல்லா இருங்க
தீனி எப்பப்பா குடுக்குறீங்க,ட்ரீட் எப்போ தர்றீங்க
ரொம்பக் காச அழிக்காதீங்க சிக்கனம் வேணுமப்பா,ரொம்ப செலவு பண்ணாதீங்க சிக்கனம் தேவை
காசு வரும் போகும் ஆனா குணம் தான் முக்கியம்பா,பணம் வரும் போகும் ஆனா குணம் முக்கியம்
ஒங்களப் பாத்ததுல எனக்கு ரொம்ப குசிப்பா,உங்களை பார்த்ததுல எனக்கு ரொம்ப சந்தோஷம்
அடிக்கடி போன் போடுங்க பேசுவோம்ப்பா,அடிக்கடி போன் பண்ணுங்க பேசுவோம்
ஒடம்பப் பத்திரமாப் பாத்துக்கோங்கப்பா,உடம்பை ஜாக்கிரதையா பாத்துக்கோங்க
வெளில சோறு ரொம்பச் சாப்பிடாதீங்கப்பா,வெளில சாப்பாடு அதிகமா சாப்பிடாதீங்க
வெந்நி குடிங்க தொண்ட வலி சரியாயிரும்ப்பா,சுடுதண்ணி குடிங்க தொண்டை வலி சரியாகிடும்
வைத்தியர் கிட்டப் போயிட்டு வந்தீங்களாப்பா,டாக்டர் கிட்ட போயிட்டு வந்தீங்களா
மாத்திரையச் சரியாச் சாப்டுங்கப்பா,மாத்திரை கரெக்டா சாப்பிடுங்க
தூக்கம் தான் பாதி நோயத் தீக்குமப்பா,தூக்கம் தான் பாதி நோய் தீர்க்கும்
நெம்மதியாத் தூங்குங்க நல்ல கனவா வரட்டும்,நிம்மதியா தூங்குங்க கனவு காணுங்கள்
கால்ல புதுத் தெம்போட எந்திரிக்கலாம்ப்பா,காலைல புது தெம்போட எழுந்துருக்கலாம்
ஒங்களுக்கு என்ன புடிக்கும்னு சொல்லுங்கப்பா,உங்களுக்கு என்ன பிடிக்கும்னு சொல்லுங்க
எனக்குத் பாட்டுக் கேக்குறது ரொம்ப உசத்திப்பா,எனக்கு பாட்டு கேக்குறது ரொம்ப பிடிக்கும்
ஏதாச்சும் நல்ல பாட்டாப் போடுங்க கேப்போம்,எதாவது நல்ல பாட்டு போடுங்க கேப்போம்
இந்த வாரம் சினிமாவுக்குப் போலாமாப்பா,சினிமாக்கு போலாமா இந்த வாரம்
சீட்டு முன்பதிவு செஞ்சாச்சாப்பா,டிக்கெட் புக் பண்ணியாச்சா
சினிமாக் கொட்டாயில சனம் கம்மியாத்தாம்பா இருக்கு,தியேட்டர்ல கூட்டம் கம்மியா தான் இருக்கு
படம் எப்படி இருக்குனு விசாரிச்சீங்களாப்பா,படம் எப்படி இருக்குனு ரிவ்யூ பாத்தீங்களா
எனக்குச் சிரிப்பாப் படம் தான் ரொம்பப் புடிக்கும்பா,எனக்கு காமெடி படம் தான் ரொம்ப பிடிக்கும்
எதையும் ரொம்பப் போட்டு ஒழப்பிக்காதீங்கப்பா,ரொம்ப சீரியஸா எதையும் எடுத்துக்காதீங்க
உசுரு ஒரு வாட்டி தான் சந்தோசமா இருங்கப்பா,வாழ்க்கை ஒரு முறை தான் சந்தோஷமா இருங்க
